Date,Check phone count,Screen on time
27/11/2019,30.0,3:17:07
26/11/2019,55.0,3:56:09
25/11/2019,79.0,5:11:51
24/11/2019,68.0,5:07:07
23/11/2019,66.0,5:52:24
22/11/2019,60.0,4:07:32
21/11/2019,66.0,6:01:38
20/11/2019,53.0,3:57:31
19/11/2019,53.0,4:10:44
18/11/2019,63.0,4:40:07
17/11/2019,87.0,3:31:52
16/11/2019,77.0,5:55:52
15/11/2019,76.0,3:55:27
14/11/2019,70.0,5:34:35
13/11/2019,76.0,5:05:49
12/11/2019,66.0,4:10:46
11/11/2019,78.0,5:56:43
10/11/2019,62.0,6:58:54
09/11/2019,73.0,5:56:55
08/11/2019,79.0,6:13:26
07/11/2019,66.0,6:15:50
06/11/2019,72.0,3:03:16
05/11/2019,65.0,6:23:36
04/11/2019,78.0,5:23:14
03/11/2019,57.0,5:45:34
02/11/2019,81.0,7:10:10
01/11/2019,84.0,5:52:14
31/10/2019,71.0,6:22:49
30/10/2019,71.0,4:34:26
29/10/2019,81.0,5:37:58
28/10/2019,85.0,3:28:33
27/10/2019,83.0,4:45:04
26/10/2019,72.0,5:13:11
25/10/2019,65.0,6:03:20
24/10/2019,91.0,7:37:49
23/10/2019,88.0,5:08:04
22/10/2019,54.0,3:27:35
21/10/2019,108.0,4:29:40
19/10/2019,38.0,0:37:21
18/10/2019,101.0,2:39:48
17/10/2019,84.0,7:00:45
16/10/2019,79.0,8:01:33
15/10/2019,63.0,6:03:32
14/10/2019,57.0,5:32:11
13/10/2019,57.0,6:56:10
12/10/2019,59.0,7:25:16
11/10/2019,74.0,7:11:46
10/10/2019,79.0,5:39:44
09/10/2019,60.0,6:45:04
08/10/2019,68.0,5:36:21
07/10/2019,68.0,5:32:04
06/10/2019,70.0,7:21:44
05/10/2019,59.0,5:56:27
04/10/2019,90.0,4:28:53
03/10/2019,77.0,7:37:37
02/10/2019,80.0,8:09:54
01/10/2019,68.0,6:18:51
30/09/2019,63.0,5:12:23
29/09/2019,100.0,5:24:17
28/09/2019,63.0,6:04:37
27/09/2019,61.0,3:31:31
26/09/2019,103.0,6:03:26
25/09/2019,70.0,4:47:48
24/09/2019,70.0,5:24:17
23/09/2019,83.0,3:43:51
22/09/2019,74.0,4:54:27
21/09/2019,53.0,7:09:46
20/09/2019,81.0,4:35:56
19/09/2019,71.0,4:56:16
18/09/2019,100.0,4:55:35
17/09/2019,81.0,6:35:45
16/09/2019,60.0,5:25:12
15/09/2019,68.0,5:17:22
14/09/2019,83.0,2:51:02
13/09/2019,93.0,7:41:37
12/09/2019,70.0,4:35:26
11/09/2019,83.0,7:24:06
10/09/2019,81.0,5:02:02
09/09/2019,81.0,6:15:44
08/09/2019,69.0,6:14:11
07/09/2019,84.0,7:04:27
06/09/2019,80.0,6:48:28
05/09/2019,79.0,6:33:23
04/09/2019,55.0,5:16:44
03/09/2019,79.0,6:04:16
02/09/2019,70.0,7:21:15
01/09/2019,121.0,3:55:56
31/08/2019,90.0,6:53:43
30/08/2019,69.0,7:45:25
29/08/2019,58.0,3:56:34
28/08/2019,73.0,5:32:34
27/08/2019,60.0,4:49:13
26/08/2019,93.0,5:47:29
25/08/2019,114.0,4:36:27
24/08/2019,107.0,4:10:35
23/08/2019,77.0,6:07:13
22/08/2019,158.0,5:58:09
21/08/2019,92.0,6:03:01
20/08/2019,69.0,6:10:46
19/08/2019,50.0,4:24:46
18/08/2019,62.0,7:35:19
17/08/2019,61.0,9:24:33
16/08/2019,83.0,5:54:50
15/08/2019,83.0,6:43:34
14/08/2019,91.0,5:39:46
13/08/2019,80.0,5:46:56
12/08/2019,53.0,5:26:19
11/08/2019,81.0,4:35:58
10/08/2019,69.0,3:06:10
09/08/2019,79.0,4:39:07
08/08/2019,65.0,5:13:35
07/08/2019,83.0,3:42:42
06/08/2019,67.0,4:29:27
05/08/2019,73.0,4:02:18
04/08/2019,57.0,4:30:18
03/08/2019,63.0,9:30:01
02/08/2019,92.0,6:07:58
01/08/2019,64.0,5:37:12
31/07/2019,70.0,4:25:26
30/07/2019,66.0,5:32:03
29/07/2019,59.0,4:48:43
28/07/2019,81.0,3:39:34
27/07/2019,64.0,3:49:00
26/07/2019,63.0,5:47:43
25/07/2019,57.0,5:19:29
24/07/2019,65.0,5:22:45
23/07/2019,91.0,4:53:25
22/07/2019,82.0,4:54:36
21/07/2019,64.0,5:48:20
20/07/2019,110.0,7:46:52
19/07/2019,68.0,5:48:51
18/07/2019,64.0,6:48:43
17/07/2019,58.0,5:19:17
16/07/2019,71.0,5:36:16
15/07/2019,90.0,7:53:29
14/07/2019,92.0,7:53:56
13/07/2019,76.0,3:54:05
12/07/2019,65.0,4:24:32
11/07/2019,87.0,6:59:12
10/07/2019,92.0,6:08:02
09/07/2019,69.0,7:45:22
08/07/2019,119.0,4:59:14
07/07/2019,98.0,4:11:54
06/07/2019,96.0,4:01:14
05/07/2019,104.0,7:58:23
04/07/2019,36.0,3:35:33
03/07/2019,74.0,8:40:21
02/07/2019,83.0,6:15:16
01/07/2019,76.0,6:15:09
30/06/2019,69.0,7:17:21
29/06/2019,70.0,7:28:32
28/06/2019,60.0,4:02:33
27/06/2019,56.0,7:51:13
26/06/2019,75.0,6:15:42
25/06/2019,59.0,6:03:45
24/06/2019,37.0,4:58:25
23/06/2019,74.0,6:38:16
22/06/2019,80.0,7:17:22
21/06/2019,61.0,4:51:40
20/06/2019,64.0,4:37:30
19/06/2019,52.0,6:39:43
18/06/2019,49.0,5:28:29
17/06/2019,56.0,5:09:57
16/06/2019,105.0,4:54:08
15/06/2019,71.0,5:08:02
14/06/2019,68.0,6:28:35
13/06/2019,82.0,4:56:10
12/06/2019,72.0,6:10:34
11/06/2019,78.0,5:18:00
10/06/2019,79.0,4:22:21
09/06/2019,66.0,7:11:13
08/06/2019,80.0,6:10:35
07/06/2019,69.0,5:33:33
06/06/2019,55.0,6:30:48
05/06/2019,45.0,7:04:15
04/06/2019,75.0,5:07:30
03/06/2019,82.0,4:34:45
02/06/2019,53.0,5:12:32
01/06/2019,73.0,5:33:07
31/05/2019,79.0,5:37:58
30/05/2019,68.0,8:37:01
29/05/2019,63.0,6:04:37
28/05/2019,64.0,5:18:12
27/05/2019,68.0,6:14:55
26/05/2019,52.0,6:55:16
25/05/2019,58.0,3:34:42
24/05/2019,70.0,7:44:25
23/05/2019,49.0,5:56:30
22/05/2019,78.0,7:31:39
20/05/2019,34.0,3:17:24
19/05/2019,80.0,5:27:18
18/05/2019,68.0,4:37:25
17/05/2019,33.0,2:51:12
